6:  Lista solo las películas que tienen al menos 5 copias en inventario.
film_id	title	copies_5plus
1	ACADEMY DINOSAUR	8
4	AFFAIR PREJUDICE	7
6	AGENT TRUMAN	6
7	AIRPLANE SIERRA	5
9	ALABAMA DEVIL	5
10	ALADDIN CALENDAR	7
11	ALAMO VIDEOTAPE	7
12	ALASKA PHANTOM	7
15	ALIEN CENTER	6
17	ALONE TRIP	6
18	ALTER VICTORY	6
19	AMADEUS HOLY	6
21	AMERICAN CIRCUS	6
22	AMISTAD MIDSUMMER	7
23	ANACONDA CONFESSIONS	5
25	ANGELS LIFE	6
26	ANNIE IDENTITY	5
31	APACHE DIVINE	8
35	ARACHNOPHOBIA ROLLERCOASTER	7
37	ARIZONA BANG	7
39	ARMAGEDDON LOST	7
43	ATLANTIS CAUSE	7
44	ATTACKS HATE	5
45	ATTRACTION NEWTON	6
49	BADMAN DAWN	6
50	BAKED CLEOPATRA	5
51	BALLOON HOMEWARD	6
54	BANGER PINOCCHIO	5
55	BARBARELLA STREETCAR	6
56	BAREFOOT MANCHURIAN	5
57	BASIC EASY	7
59	BEAR GRACELAND	5
61	BEAUTY GREASE	6
67	BERETS AGENT	6
69	BEVERLY OUTLAW	8
72	BILL OTHERS	6
73	BINGO TALENTED	8
74	BIRCH ANTITRUST	5
77	BIRDS PERDITION	6
78	BLACKOUT PRIVATE	7
79	BLADE POLISH	6
83	BLUES INSTINCT	5
86	BOOGIE AMELIE	8
89	BORROWERS BEDAZZLED	6
90	BOULEVARD MOB	6
91	BOUND CHEAPER	8
95	BREAKFAST GOLDFINGER	5
97	BRIDE INTRIGUE	6
99	BRINGING HYSTERICAL	6
100	BROOKLYN DESERT	6
101	BROTHERHOOD BLANKET	6
103	BUCKET BROTHERHOOD	8
105	BULL SHAWSHANK	5
109	BUTTERFLY CHOCOLAT	8
112	CALENDAR GUNFIGHT	7
114	CAMELOT VACATION	7
115	CAMPUS REMEMBER	7
116	CANDIDATE PERDITION	6
117	CANDLES GRAPES	6
118	CANYON STOCK	6
119	CAPER MOTIONS	7
121	CAROL TEXAS	6
122	CARRIE BUNCH	7
123	CASABLANCA SUPER	5
127	CAT CONEHEADS	8
129	CAUSE DATE	6
130	CELEBRITY HORN	6
131	CENTER DINOSAUR	6
132	CHAINSAW UPTOWN	6
135	CHANCE RESURRECTION	7
138	CHARIOTS CONSPIRACY	5
139	CHASING FIGHT	6
140	CHEAPER CLYDE	5
141	CHICAGO NORTH	5
142	CHICKEN HELLFIGHTERS	5
143	CHILL LUCK	7
147	CHOCOLAT HARRY	6
