5:  Para cada película, muestra cuántas copias hay en el inventario.
film_id	title	copies
1	ACADEMY DINOSAUR	8
2	ACE GOLDFINGER	3
3	ADAPTATION HOLES	4
4	AFFAIR PREJUDICE	7
5	AFRICAN EGG	3
6	AGENT TRUMAN	6
7	AIRPLANE SIERRA	5
8	AIRPORT POLLOCK	4
9	ALABAMA DEVIL	5
10	ALADDIN CALENDAR	7
11	ALAMO VIDEOTAPE	7
12	ALASKA PHANTOM	7
13	ALI FOREVER	4
15	ALIEN CENTER	6
16	ALLEY EVOLUTION	4
17	ALONE TRIP	6
18	ALTER VICTORY	6
19	AMADEUS HOLY	6
20	AMELIE HELLFIGHTERS	3
21	AMERICAN CIRCUS	6
22	AMISTAD MIDSUMMER	7
23	ANACONDA CONFESSIONS	5
24	ANALYZE HOOSIERS	4
25	ANGELS LIFE	6
26	ANNIE IDENTITY	5
27	ANONYMOUS HUMAN	4
28	ANTHEM LUKE	3
29	ANTITRUST TOMATOES	2
30	ANYTHING SAVANNAH	2
31	APACHE DIVINE	8
32	APOCALYPSE FLAMINGOS	2
34	ARABIA DOGMA	4
35	ARACHNOPHOBIA ROLLERCOASTER	7
37	ARIZONA BANG	7
39	ARMAGEDDON LOST	7
40	ARMY FLINTSTONES	4
42	ARTIST COLDBLOODED	4
43	ATLANTIS CAUSE	7
44	ATTACKS HATE	5
45	ATTRACTION NEWTON	6
46	AUTUMN CROW	3
47	BABY HALL	2
48	BACKLASH UNDEFEATED	4
49	BADMAN DAWN	6
50	BAKED CLEOPATRA	5
51	BALLOON HOMEWARD	6
52	BALLROOM MOCKINGBIRD	2
53	BANG KWAI	2
54	BANGER PINOCCHIO	5
55	BARBARELLA STREETCAR	6
56	BAREFOOT MANCHURIAN	5
57	BASIC EASY	7
58	BEACH HEARTBREAKERS	4
59	BEAR GRACELAND	5
60	BEAST HUNCHBACK	3
61	BEAUTY GREASE	6
62	BED HIGHBALL	2
63	BEDAZZLED MARRIED	4
64	BEETHOVEN EXORCIST	3
65	BEHAVIOR RUNAWAY	4
66	BENEATH RUSH	3
67	BERETS AGENT	6
68	BETRAYED REAR	4
69	BEVERLY OUTLAW	8
70	BIKINI BORROWERS	4
71	BILKO ANONYMOUS	4
72	BILL OTHERS	6
73	BINGO TALENTED	8
74	BIRCH ANTITRUST	5
75	BIRD INDEPENDENCE	3
76	BIRDCAGE CASPER	3
77	BIRDS PERDITION	6
78	BLACKOUT PRIVATE	7
79	BLADE POLISH	6
80	BLANKET BEVERLY	4
81	BLINDNESS GUN	4
82	BLOOD ARGONAUTS	2
83	BLUES INSTINCT	5
84	BOILED DARES	4
85	BONNIE HOLOCAUST	4
86	BOOGIE AMELIE	8
88	BORN SPINAL	4
89	BORROWERS BEDAZZLED	6
90	BOULEVARD MOB	6
91	BOUND CHEAPER	8
92	BOWFINGER GABLES	4
93	BRANNIGAN SUNRISE	3
94	BRAVEHEART HUMAN	2
95	BREAKFAST GOLDFINGER	5
96	BREAKING HOME	3
97	BRIDE INTRIGUE	6
98	BRIGHT ENCOUNTERS	3
99	BRINGING HYSTERICAL	6
100	BROOKLYN DESERT	6
101	BROTHERHOOD BLANKET	6
102	BUBBLE GROSSE	2
103	BUCKET BROTHERHOOD	8
104	BUGSY SONG	3
105	BULL SHAWSHANK	5
106	BULWORTH COMMANDMENTS	2
107	BUNCH MINDS	2
109	BUTTERFLY CHOCOLAT	8
110	CABIN FLASH	4
111	CADDYSHACK JEDI	4
112	CALENDAR GUNFIGHT	7
113	CALIFORNIA BIRDS	4
114	CAMELOT VACATION	7
115	CAMPUS REMEMBER	7
116	CANDIDATE PERDITION	6
117	CANDLES GRAPES	6
118	CANYON STOCK	6
119	CAPER MOTIONS	7
120	CARIBBEAN LIBERTY	3
121	CAROL TEXAS	6
122	CARRIE BUNCH	7
123	CASABLANCA SUPER	5
124	CASPER DRAGONFLY	3
125	CASSIDY WYOMING	2
126	CASUALTIES ENCINO	3
127	CAT CONEHEADS	8
129	CAUSE DATE	6
130	CELEBRITY HORN	6
131	CENTER DINOSAUR	6
132	CHAINSAW UPTOWN	6
133	CHAMBER ITALIAN	4
134	CHAMPION FLATLINERS	3
135	CHANCE RESURRECTION	7
136	CHAPLIN LICENSE	3
137	CHARADE DUFFEL	4
138	CHARIOTS CONSPIRACY	5
139	CHASING FIGHT	6
140	CHEAPER CLYDE	5
141	CHICAGO NORTH	5
142	CHICKEN HELLFIGHTERS	5
143	CHILL LUCK	7
145	CHISUM BEHAVIOR	3
146	CHITTY LOCK	3
147	CHOCOLAT HARRY	6
149	CHRISTMAS MOONSHINE	6
150	CIDER DESIRE	6
151	CINCINATTI WHISPERER	4
152	CIRCUS YOUTH	4
153	CITIZEN SHREK	4
154	CLASH FREDDY	7
155	CLEOPATRA DEVIL	5
156	CLERKS ANGELS	2
157	CLOCKWORK PARADISE	3
158	CLONES PINOCCHIO	5
159	CLOSER BANG	7
160	CLUB GRAFFITI	5
161	CLUE GRAIL	2
162	CLUELESS BUCKET	7
163	CLYDE THEORY	3
164	COAST RAINBOW	5
165	COLDBLOODED DARLING	5
166	COLOR PHILADELPHIA	6
167	COMA HEAD	7
168	COMANCHEROS ENEMY	2
169	COMFORTS RUSH	4
170	COMMAND DARLING	6
172	CONEHEADS SMOOCHY	7
173	CONFESSIONS MAGUIRE	5
174	CONFIDENTIAL INTERVIEW	8
175	CONFUSED CANDLES	5
176	CONGENIALITY QUEST	6
177	CONNECTICUT TRAMP	3
178	CONNECTION MICROCOSMOS	2
179	CONQUERER NUTS	4
180	CONSPIRACY SPIRIT	2
181	CONTACT ANONYMOUS	7
182	CONTROL ANTHEM	2
183	CONVERSATION DOWNHILL	6
184	CORE SUIT	5
185	COWBOY DOOM	2
186	CRAFT OUTFIELD	4
187	CRANES RESERVOIR	3
188	CRAZY HOME	3
189	CREATURES SHAKESPEARE	6
190	CREEPERS KANE	4
191	CROOKED FROGMEN	6
193	CROSSROADS CASUALTIES	8
194	CROW GREASE	4
196	CRUELTY UNFORGIVEN	2
197	CRUSADE HONEY	2
199	CUPBOARD SINNERS	8
200	CURTAIN VIDEOTAPE	8
201	CYCLONE FAMILY	4
202	DADDY PITTSBURGH	3
203	DAISY MENAGERIE	4
204	DALMATIONS SWEDEN	6
205	DANCES NONE	4
206	DANCING FEVER	8
207	DANGEROUS UPTOWN	4
208	DARES PLUTO	3
209	DARKNESS WAR	4
210	DARKO DORADO	3
211	DARLING BREAKING	2
212	DARN FORRESTER	5
213	DATE SPEED	4
214	DAUGHTER MADIGAN	4
215	DAWN POND	6
216	DAY UNFAITHFUL	5
218	DECEIVER BETRAYED	7
219	DEEP CRUSADE	4
220	DEER VIRGINIAN	8
222	DESERT POSEIDON	6
223	DESIRE ALIEN	2
224	DESPERATE TRAINSPOTTING	2
225	DESTINATION JERK	3
226	DESTINY SATURDAY	5
227	DETAILS PACKER	5
228	DETECTIVE VISION	7
229	DEVIL DESIRE	4
230	DIARY PANIC	2
231	DINOSAUR SECRETARY	8
232	DIRTY ACE	5
233	DISCIPLE MOTHER	6
234	DISTURBING SCARFACE	7
235	DIVIDE MONSTER	6
236	DIVINE RESURRECTION	4
237	DIVORCE SHINING	2
238	DOCTOR GRAIL	2
239	DOGMA FAMILY	8
240	DOLLS RAGE	3
241	DONNIE ALLEY	4
242	DOOM DANCING	5
243	DOORS PRESIDENT	6
244	DORADO NOTTING	7
245	DOUBLE WRATH	7
246	DOUBTFIRE LABYRINTH	3
247	DOWNHILL ENOUGH	7
248	DOZEN LION	2
249	DRACULA CRYSTAL	6
250	DRAGON SQUAD	4
251	DRAGONFLY STRANGERS	5
252	DREAM PICKUP	6
253	DRIFTER COMMANDMENTS	6
254	DRIVER ANNIE	5
255	DRIVING POLISH	6
256	DROP WATERFRONT	3
257	DRUMLINE CYCLONE	3
258	DRUMS DYNAMITE	4
259	DUCK RACER	2
260	DUDE BLINDNESS	4
261	DUFFEL APOCALYPSE	2
262	DUMBO LUST	2
263	DURHAM PANKY	7
264	DWARFS ALTER	2
265	DYING MAKER	4
266	DYNAMITE TARZAN	8
267	EAGLES PANKY	6
268	EARLY HOME	2
269	EARRING INSTINCT	6
270	EARTH VISION	7
271	EASY GLADIATOR	5
272	EDGE KISSING	4
273	EFFECT GLADIATOR	7
274	EGG IGBY	7
275	EGYPT TENENBAUMS	5
276	ELEMENT FREDDY	4
277	ELEPHANT TROJAN	3
278	ELF MURDER	2
279	ELIZABETH SHANE	2
280	EMPIRE MALKOVICH	6
281	ENCINO ELF	6
282	ENCOUNTERS CURTAIN	6
283	ENDING CROWDS	3
284	ENEMY ODDS	7
285	ENGLISH BULWORTH	7
286	ENOUGH RAGING	5
287	ENTRAPMENT SATISFACTION	4
288	ESCAPE METROPOLIS	6
289	EVE RESURRECTION	2
290	EVERYONE CRAFT	3
291	EVOLUTION ALTER	4
292	EXCITEMENT EVE	6
293	EXORCIST STING	5
294	EXPECATIONS NATURAL	5
295	EXPENDABLE STALLION	8
296	EXPRESS LONELY	4
297	EXTRAORDINARY CONQUERER	2
298	EYES DRIVING	5
299	FACTORY DRAGON	4
