25:  Para cada película, muestra el promedio de tarifa de alquiler (rental_rate) de las copias existentes (es un promedio redundante pero válido).
film_id	title	avg_rate
1	ACADEMY DINOSAUR	0.990000
2	ACE GOLDFINGER	4.990000
3	ADAPTATION HOLES	2.990000
4	AFFAIR PREJUDICE	2.990000
5	AFRICAN EGG	2.990000
6	AGENT TRUMAN	2.990000
7	AIRPLANE SIERRA	4.990000
8	AIRPORT POLLOCK	4.990000
9	ALABAMA DEVIL	2.990000
10	ALADDIN CALENDAR	4.990000
11	ALAMO VIDEOTAPE	0.990000
12	ALASKA PHANTOM	0.990000
13	ALI FOREVER	4.990000
15	ALIEN CENTER	2.990000
16	ALLEY EVOLUTION	2.990000
17	ALONE TRIP	0.990000
18	ALTER VICTORY	0.990000
19	AMADEUS HOLY	0.990000
20	AMELIE HELLFIGHTERS	4.990000
21	AMERICAN CIRCUS	4.990000
22	AMISTAD MIDSUMMER	2.990000
23	ANACONDA CONFESSIONS	0.990000
24	ANALYZE HOOSIERS	2.990000
25	ANGELS LIFE	2.990000
26	ANNIE IDENTITY	0.990000
27	ANONYMOUS HUMAN	0.990000
28	ANTHEM LUKE	4.990000
29	ANTITRUST TOMATOES	2.990000
30	ANYTHING SAVANNAH	2.990000
31	APACHE DIVINE	4.990000
32	APOCALYPSE FLAMINGOS	4.990000
34	ARABIA DOGMA	0.990000
35	ARACHNOPHOBIA ROLLERCOASTER	2.990000
37	ARIZONA BANG	2.990000
39	ARMAGEDDON LOST	0.990000
40	ARMY FLINTSTONES	0.990000
42	ARTIST COLDBLOODED	2.990000
43	ATLANTIS CAUSE	2.990000
44	ATTACKS HATE	4.990000
45	ATTRACTION NEWTON	4.990000
46	AUTUMN CROW	4.990000
47	BABY HALL	4.990000
48	BACKLASH UNDEFEATED	4.990000
49	BADMAN DAWN	2.990000
50	BAKED CLEOPATRA	2.990000
51	BALLOON HOMEWARD	2.990000
52	BALLROOM MOCKINGBIRD	0.990000
53	BANG KWAI	2.990000
54	BANGER PINOCCHIO	0.990000
55	BARBARELLA STREETCAR	2.990000
56	BAREFOOT MANCHURIAN	2.990000
57	BASIC EASY	2.990000
58	BEACH HEARTBREAKERS	2.990000
59	BEAR GRACELAND	2.990000
60	BEAST HUNCHBACK	4.990000
61	BEAUTY GREASE	4.990000
62	BED HIGHBALL	2.990000
63	BEDAZZLED MARRIED	0.990000
64	BEETHOVEN EXORCIST	0.990000
65	BEHAVIOR RUNAWAY	4.990000
66	BENEATH RUSH	0.990000
67	BERETS AGENT	2.990000
68	BETRAYED REAR	4.990000
69	BEVERLY OUTLAW	2.990000
70	BIKINI BORROWERS	4.990000
71	BILKO ANONYMOUS	4.990000
72	BILL OTHERS	2.990000
73	BINGO TALENTED	2.990000
74	BIRCH ANTITRUST	4.990000
75	BIRD INDEPENDENCE	4.990000
76	BIRDCAGE CASPER	0.990000
77	BIRDS PERDITION	4.990000
78	BLACKOUT PRIVATE	2.990000
79	BLADE POLISH	0.990000
80	BLANKET BEVERLY	2.990000
81	BLINDNESS GUN	4.990000
82	BLOOD ARGONAUTS	0.990000
83	BLUES INSTINCT	2.990000
84	BOILED DARES	4.990000
85	BONNIE HOLOCAUST	0.990000
86	BOOGIE AMELIE	4.990000
88	BORN SPINAL	4.990000
89	BORROWERS BEDAZZLED	0.990000
90	BOULEVARD MOB	0.990000
91	BOUND CHEAPER	0.990000
92	BOWFINGER GABLES	4.990000
93	BRANNIGAN SUNRISE	4.990000
94	BRAVEHEART HUMAN	2.990000
95	BREAKFAST GOLDFINGER	4.990000
96	BREAKING HOME	2.990000
97	BRIDE INTRIGUE	0.990000
98	BRIGHT ENCOUNTERS	4.990000
99	BRINGING HYSTERICAL	2.990000
100	BROOKLYN DESERT	4.990000
101	BROTHERHOOD BLANKET	0.990000
102	BUBBLE GROSSE	4.990000
103	BUCKET BROTHERHOOD	4.990000
104	BUGSY SONG	2.990000
105	BULL SHAWSHANK	0.990000
106	BULWORTH COMMANDMENTS	2.990000
107	BUNCH MINDS	2.990000
109	BUTTERFLY CHOCOLAT	0.990000
110	CABIN FLASH	0.990000
111	CADDYSHACK JEDI	0.990000
112	CALENDAR GUNFIGHT	4.990000
113	CALIFORNIA BIRDS	4.990000
114	CAMELOT VACATION	0.990000
115	CAMPUS REMEMBER	2.990000
116	CANDIDATE PERDITION	2.990000
117	CANDLES GRAPES	4.990000
118	CANYON STOCK	0.990000
119	CAPER MOTIONS	0.990000
120	CARIBBEAN LIBERTY	4.990000
121	CAROL TEXAS	2.990000
122	CARRIE BUNCH	0.990000
123	CASABLANCA SUPER	4.990000
124	CASPER DRAGONFLY	4.990000
125	CASSIDY WYOMING	2.990000
126	CASUALTIES ENCINO	4.990000
127	CAT CONEHEADS	4.990000
129	CAUSE DATE	2.990000
130	CELEBRITY HORN	0.990000
131	CENTER DINOSAUR	4.990000
132	CHAINSAW UPTOWN	0.990000
133	CHAMBER ITALIAN	4.990000
134	CHAMPION FLATLINERS	4.990000
135	CHANCE RESURRECTION	2.990000
136	CHAPLIN LICENSE	2.990000
137	CHARADE DUFFEL	2.990000
138	CHARIOTS CONSPIRACY	2.990000
139	CHASING FIGHT	4.990000
140	CHEAPER CLYDE	0.990000
141	CHICAGO NORTH	4.990000
142	CHICKEN HELLFIGHTERS	0.990000
143	CHILL LUCK	0.990000
145	CHISUM BEHAVIOR	4.990000
146	CHITTY LOCK	2.990000
147	CHOCOLAT HARRY	0.990000
149	CHRISTMAS MOONSHINE	0.990000
150	CIDER DESIRE	2.990000
151	CINCINATTI WHISPERER	4.990000
152	CIRCUS YOUTH	2.990000
153	CITIZEN SHREK	0.990000
154	CLASH FREDDY	2.990000
155	CLEOPATRA DEVIL	0.990000
156	CLERKS ANGELS	4.990000
157	CLOCKWORK PARADISE	0.990000
158	CLONES PINOCCHIO	2.990000
159	CLOSER BANG	4.990000
160	CLUB GRAFFITI	0.990000
161	CLUE GRAIL	4.990000
162	CLUELESS BUCKET	2.990000
163	CLYDE THEORY	0.990000
164	COAST RAINBOW	0.990000
165	COLDBLOODED DARLING	4.990000
166	COLOR PHILADELPHIA	2.990000
167	COMA HEAD	4.990000
168	COMANCHEROS ENEMY	0.990000
169	COMFORTS RUSH	2.990000
170	COMMAND DARLING	4.990000
172	CONEHEADS SMOOCHY	4.990000
173	CONFESSIONS MAGUIRE	4.990000
174	CONFIDENTIAL INTERVIEW	4.990000
175	CONFUSED CANDLES	2.990000
176	CONGENIALITY QUEST	0.990000
177	CONNECTICUT TRAMP	4.990000
178	CONNECTION MICROCOSMOS	0.990000
179	CONQUERER NUTS	4.990000
180	CONSPIRACY SPIRIT	2.990000
181	CONTACT ANONYMOUS	2.990000
182	CONTROL ANTHEM	4.990000
183	CONVERSATION DOWNHILL	4.990000
184	CORE SUIT	2.990000
185	COWBOY DOOM	2.990000
186	CRAFT OUTFIELD	0.990000
187	CRANES RESERVOIR	2.990000
188	CRAZY HOME	2.990000
189	CREATURES SHAKESPEARE	0.990000
190	CREEPERS KANE	4.990000
191	CROOKED FROGMEN	0.990000
193	CROSSROADS CASUALTIES	2.990000
194	CROW GREASE	0.990000
196	CRUELTY UNFORGIVEN	0.990000
197	CRUSADE HONEY	2.990000
199	CUPBOARD SINNERS	2.990000
200	CURTAIN VIDEOTAPE	0.990000
201	CYCLONE FAMILY	2.990000
202	DADDY PITTSBURGH	4.990000
203	DAISY MENAGERIE	4.990000
204	DALMATIONS SWEDEN	0.990000
205	DANCES NONE	0.990000
206	DANCING FEVER	0.990000
207	DANGEROUS UPTOWN	4.990000
208	DARES PLUTO	2.990000
209	DARKNESS WAR	2.990000
210	DARKO DORADO	4.990000
211	DARLING BREAKING	4.990000
212	DARN FORRESTER	4.990000
213	DATE SPEED	0.990000
214	DAUGHTER MADIGAN	4.990000
215	DAWN POND	4.990000
216	DAY UNFAITHFUL	4.990000
218	DECEIVER BETRAYED	0.990000
219	DEEP CRUSADE	4.990000
220	DEER VIRGINIAN	2.990000
222	DESERT POSEIDON	4.990000
223	DESIRE ALIEN	2.990000
224	DESPERATE TRAINSPOTTING	4.990000
225	DESTINATION JERK	0.990000
226	DESTINY SATURDAY	4.990000
227	DETAILS PACKER	4.990000
228	DETECTIVE VISION	0.990000
229	DEVIL DESIRE	4.990000
230	DIARY PANIC	2.990000
231	DINOSAUR SECRETARY	2.990000
232	DIRTY ACE	2.990000
233	DISCIPLE MOTHER	0.990000
234	DISTURBING SCARFACE	2.990000
235	DIVIDE MONSTER	2.990000
236	DIVINE RESURRECTION	2.990000
237	DIVORCE SHINING	2.990000
238	DOCTOR GRAIL	2.990000
239	DOGMA FAMILY	4.990000
240	DOLLS RAGE	2.990000
241	DONNIE ALLEY	0.990000
242	DOOM DANCING	0.990000
243	DOORS PRESIDENT	4.990000
244	DORADO NOTTING	4.990000
245	DOUBLE WRATH	0.990000
246	DOUBTFIRE LABYRINTH	4.990000
247	DOWNHILL ENOUGH	0.990000
248	DOZEN LION	4.990000
249	DRACULA CRYSTAL	0.990000
250	DRAGON SQUAD	0.990000
251	DRAGONFLY STRANGERS	4.990000
252	DREAM PICKUP	2.990000
253	DRIFTER COMMANDMENTS	4.990000
254	DRIVER ANNIE	2.990000
255	DRIVING POLISH	4.990000
256	DROP WATERFRONT	4.990000
257	DRUMLINE CYCLONE	0.990000
258	DRUMS DYNAMITE	0.990000
259	DUCK RACER	2.990000
260	DUDE BLINDNESS	4.990000
261	DUFFEL APOCALYPSE	0.990000
262	DUMBO LUST	0.990000
263	DURHAM PANKY	4.990000
264	DWARFS ALTER	2.990000
265	DYING MAKER	4.990000
266	DYNAMITE TARZAN	0.990000
267	EAGLES PANKY	4.990000
268	EARLY HOME	4.990000
269	EARRING INSTINCT	0.990000
270	EARTH VISION	0.990000
271	EASY GLADIATOR	4.990000
272	EDGE KISSING	4.990000
273	EFFECT GLADIATOR	0.990000
274	EGG IGBY	2.990000
275	EGYPT TENENBAUMS	0.990000
276	ELEMENT FREDDY	4.990000
277	ELEPHANT TROJAN	4.990000
278	ELF MURDER	4.990000
279	ELIZABETH SHANE	4.990000
280	EMPIRE MALKOVICH	0.990000
281	ENCINO ELF	0.990000
282	ENCOUNTERS CURTAIN	0.990000
283	ENDING CROWDS	0.990000
284	ENEMY ODDS	4.990000
285	ENGLISH BULWORTH	0.990000
286	ENOUGH RAGING	2.990000
287	ENTRAPMENT SATISFACTION	0.990000
288	ESCAPE METROPOLIS	2.990000
289	EVE RESURRECTION	4.990000
290	EVERYONE CRAFT	0.990000
291	EVOLUTION ALTER	0.990000
292	EXCITEMENT EVE	0.990000
293	EXORCIST STING	2.990000
294	EXPECATIONS NATURAL	4.990000
295	EXPENDABLE STALLION	0.990000
296	EXPRESS LONELY	2.990000
297	EXTRAORDINARY CONQUERER	2.990000
298	EYES DRIVING	2.990000
299	FACTORY DRAGON	0.990000
300	FALCON VOLUME	4.990000
301	FAMILY SWEET	0.990000
302	FANTASIA PARK	2.990000
303	FANTASY TROOPERS	0.990000
