27:  Para cada ciudad, cuenta cuántos clientes hay (usando la relación cliente->address->city requiere 3 tablas; aquí contamos direcciones por ciudad).
city_id	city	total_addresses
1	A Coruña (La Coruña)	1
2	Abha	1
3	Abu Dhabi	1
4	Acuña	1
5	Adana	1
6	Addis Abeba	1
7	Aden	1
8	Adoni	1
9	Ahmadnagar	1
10	Akishima	1
11	Akron	1
12	al-Ayn	1
13	al-Hawiya	1
14	al-Manama	1
15	al-Qadarif	1
16	al-Qatif	1
17	Alessandria	1
18	Allappuzha (Alleppey)	1
19	Allende	1
20	Almirante Brown	1
21	Alvorada	1
22	Ambattur	1
23	Amersfoort	1
24	Amroha	1
25	Angra dos Reis	1
26	Anápolis	1
27	Antofagasta	1
28	Aparecida de Goiânia	1
29	Apeldoorn	1
30	Araçatuba	1
31	Arak	1
32	Arecibo	1
33	Arlington	1
34	Ashdod	1
35	Ashgabat	1
36	Ashqelon	1
37	Asunción	1
38	Athenai	1
39	Atšinsk	1
40	Atlixco	1
41	Augusta-Richmond County	1
42	Aurora	2
43	Avellaneda	1
44	Bagé	1
45	Bahía Blanca	1
46	Baicheng	1
47	Baiyin	1
48	Baku	1
49	Balašiha	1
50	Balikesir	1
51	Balurghat	1
52	Bamenda	1
53	Bandar Seri Begawan	1
54	Banjul	1
55	Barcelona	1
56	Basel	1
57	Bat Yam	1
58	Batman	1
59	Batna	1
60	Battambang	1
61	Baybay	1
62	Bayugan	1
63	Béchar	1
64	Beira	1
65	Bellevue	1
66	Belém	1
67	Benguela	1
68	Beni-Mellal	1
69	Benin City	1
70	Bergamo	1
71	Berhampore (Baharampur)	1
72	Bern	1
73	Bhavnagar	1
74	Bhilwara	1
75	Bhimavaram	1
76	Bhopal	1
77	Bhusawal	1
78	Bijapur	1
79	Bilbays	1
80	Binzhou	1
81	Birgunj	1
82	Bislig	1
83	Blumenau	1
84	Boa Vista	1
85	Boksburg	1
86	Botosani	1
87	Botshabelo	1
88	Bradford	1
89	Brasília	1
90	Bratislava	1
91	Brescia	1
92	Brest	1
93	Brindisi	1
94	Brockton	1
