33:  Para cada película, cuenta cuántos alquileres se han hecho de sus copias.
film_id	title	rentals_of_film
1	ACADEMY DINOSAUR	23
2	ACE GOLDFINGER	7
3	ADAPTATION HOLES	12
4	AFFAIR PREJUDICE	23
5	AFRICAN EGG	12
6	AGENT TRUMAN	21
7	AIRPLANE SIERRA	15
8	AIRPORT POLLOCK	18
9	ALABAMA DEVIL	12
10	ALADDIN CALENDAR	23
11	ALAMO VIDEOTAPE	24
12	ALASKA PHANTOM	26
13	ALI FOREVER	9
15	ALIEN CENTER	22
16	ALLEY EVOLUTION	14
17	ALONE TRIP	18
18	ALTER VICTORY	22
19	AMADEUS HOLY	21
20	AMELIE HELLFIGHTERS	10
21	AMERICAN CIRCUS	22
22	AMISTAD MIDSUMMER	21
23	ANACONDA CONFESSIONS	21
24	ANALYZE HOOSIERS	14
25	ANGELS LIFE	22
26	ANNIE IDENTITY	22
27	ANONYMOUS HUMAN	13
28	ANTHEM LUKE	15
29	ANTITRUST TOMATOES	10
30	ANYTHING SAVANNAH	9
31	APACHE DIVINE	31
32	APOCALYPSE FLAMINGOS	6
34	ARABIA DOGMA	13
35	ARACHNOPHOBIA ROLLERCOASTER	24
37	ARIZONA BANG	21
39	ARMAGEDDON LOST	21
40	ARMY FLINTSTONES	16
42	ARTIST COLDBLOODED	16
43	ATLANTIS CAUSE	24
44	ATTACKS HATE	16
45	ATTRACTION NEWTON	24
46	AUTUMN CROW	11
47	BABY HALL	8
48	BACKLASH UNDEFEATED	19
49	BADMAN DAWN	21
50	BAKED CLEOPATRA	16
51	BALLOON HOMEWARD	23
52	BALLROOM MOCKINGBIRD	8
53	BANG KWAI	7
54	BANGER PINOCCHIO	22
55	BARBARELLA STREETCAR	25
56	BAREFOOT MANCHURIAN	18
57	BASIC EASY	21
58	BEACH HEARTBREAKERS	17
59	BEAR GRACELAND	22
60	BEAST HUNCHBACK	11
61	BEAUTY GREASE	22
62	BED HIGHBALL	6
63	BEDAZZLED MARRIED	13
64	BEETHOVEN EXORCIST	11
65	BEHAVIOR RUNAWAY	13
66	BENEATH RUSH	10
67	BERETS AGENT	21
68	BETRAYED REAR	15
69	BEVERLY OUTLAW	21
70	BIKINI BORROWERS	17
71	BILKO ANONYMOUS	13
72	BILL OTHERS	19
73	BINGO TALENTED	29
74	BIRCH ANTITRUST	11
75	BIRD INDEPENDENCE	11
76	BIRDCAGE CASPER	9
77	BIRDS PERDITION	18
78	BLACKOUT PRIVATE	27
79	BLADE POLISH	22
80	BLANKET BEVERLY	12
81	BLINDNESS GUN	14
82	BLOOD ARGONAUTS	10
83	BLUES INSTINCT	21
84	BOILED DARES	15
85	BONNIE HOLOCAUST	16
86	BOOGIE AMELIE	29
88	BORN SPINAL	12
89	BORROWERS BEDAZZLED	22
90	BOULEVARD MOB	18
91	BOUND CHEAPER	24
92	BOWFINGER GABLES	11
93	BRANNIGAN SUNRISE	12
94	BRAVEHEART HUMAN	5
95	BREAKFAST GOLDFINGER	17
96	BREAKING HOME	13
97	BRIDE INTRIGUE	19
98	BRIGHT ENCOUNTERS	13
99	BRINGING HYSTERICAL	20
100	BROOKLYN DESERT	21
101	BROTHERHOOD BLANKET	26
102	BUBBLE GROSSE	6
103	BUCKET BROTHERHOOD	34
104	BUGSY SONG	11
105	BULL SHAWSHANK	16
106	BULWORTH COMMANDMENTS	7
107	BUNCH MINDS	5
109	BUTTERFLY CHOCOLAT	30
110	CABIN FLASH	15
111	CADDYSHACK JEDI	16
112	CALENDAR GUNFIGHT	21
113	CALIFORNIA BIRDS	12
114	CAMELOT VACATION	27
115	CAMPUS REMEMBER	19
116	CANDIDATE PERDITION	18
117	CANDLES GRAPES	23
118	CANYON STOCK	19
119	CAPER MOTIONS	24
120	CARIBBEAN LIBERTY	9
121	CAROL TEXAS	18
122	CARRIE BUNCH	23
123	CASABLANCA SUPER	16
124	CASPER DRAGONFLY	8
125	CASSIDY WYOMING	6
126	CASUALTIES ENCINO	9
127	CAT CONEHEADS	30
129	CAUSE DATE	21
130	CELEBRITY HORN	24
131	CENTER DINOSAUR	24
132	CHAINSAW UPTOWN	21
133	CHAMBER ITALIAN	13
134	CHAMPION FLATLINERS	13
135	CHANCE RESURRECTION	27
136	CHAPLIN LICENSE	8
137	CHARADE DUFFEL	15
138	CHARIOTS CONSPIRACY	21
139	CHASING FIGHT	20
140	CHEAPER CLYDE	20
141	CHICAGO NORTH	16
142	CHICKEN HELLFIGHTERS	22
143	CHILL LUCK	22
145	CHISUM BEHAVIOR	13
146	CHITTY LOCK	8
147	CHOCOLAT HARRY	20
149	CHRISTMAS MOONSHINE	21
150	CIDER DESIRE	19
151	CINCINATTI WHISPERER	13
152	CIRCUS YOUTH	15
153	CITIZEN SHREK	13
154	CLASH FREDDY	25
155	CLEOPATRA DEVIL	18
156	CLERKS ANGELS	7
157	CLOCKWORK PARADISE	10
158	CLONES PINOCCHIO	19
159	CLOSER BANG	28
160	CLUB GRAFFITI	19
161	CLUE GRAIL	7
162	CLUELESS BUCKET	25
163	CLYDE THEORY	8
164	COAST RAINBOW	21
165	COLDBLOODED DARLING	16
166	COLOR PHILADELPHIA	24
167	COMA HEAD	26
168	COMANCHEROS ENEMY	6
169	COMFORTS RUSH	17
170	COMMAND DARLING	16
172	CONEHEADS SMOOCHY	25
173	CONFESSIONS MAGUIRE	14
174	CONFIDENTIAL INTERVIEW	29
175	CONFUSED CANDLES	17
176	CONGENIALITY QUEST	22
177	CONNECTICUT TRAMP	13
178	CONNECTION MICROCOSMOS	7
179	CONQUERER NUTS	16
180	CONSPIRACY SPIRIT	5
181	CONTACT ANONYMOUS	26
182	CONTROL ANTHEM	7
183	CONVERSATION DOWNHILL	17
184	CORE SUIT	18
185	COWBOY DOOM	7
186	CRAFT OUTFIELD	16
187	CRANES RESERVOIR	11
188	CRAZY HOME	9
189	CREATURES SHAKESPEARE	16
190	CREEPERS KANE	14
191	CROOKED FROGMEN	23
193	CROSSROADS CASUALTIES	21
194	CROW GREASE	12
196	CRUELTY UNFORGIVEN	7
197	CRUSADE HONEY	8
199	CUPBOARD SINNERS	23
200	CURTAIN VIDEOTAPE	27
201	CYCLONE FAMILY	15
202	DADDY PITTSBURGH	13
203	DAISY MENAGERIE	16
204	DALMATIONS SWEDEN	20
205	DANCES NONE	14
206	DANCING FEVER	27
207	DANGEROUS UPTOWN	12
208	DARES PLUTO	9
209	DARKNESS WAR	13
210	DARKO DORADO	11
211	DARLING BREAKING	9
212	DARN FORRESTER	18
213	DATE SPEED	13
214	DAUGHTER MADIGAN	9
215	DAWN POND	18
216	DAY UNFAITHFUL	14
218	DECEIVER BETRAYED	21
219	DEEP CRUSADE	14
220	DEER VIRGINIAN	29
222	DESERT POSEIDON	19
223	DESIRE ALIEN	8
224	DESPERATE TRAINSPOTTING	6
225	DESTINATION JERK	8
226	DESTINY SATURDAY	16
227	DETAILS PACKER	19
228	DETECTIVE VISION	27
229	DEVIL DESIRE	15
230	DIARY PANIC	9
231	DINOSAUR SECRETARY	20
232	DIRTY ACE	15
233	DISCIPLE MOTHER	19
234	DISTURBING SCARFACE	26
235	DIVIDE MONSTER	21
236	DIVINE RESURRECTION	15
237	DIVORCE SHINING	7
238	DOCTOR GRAIL	7
239	DOGMA FAMILY	30
240	DOLLS RAGE	9
241	DONNIE ALLEY	14
242	DOOM DANCING	21
243	DOORS PRESIDENT	19
244	DORADO NOTTING	27
245	DOUBLE WRATH	25
246	DOUBTFIRE LABYRINTH	10
247	DOWNHILL ENOUGH	25
248	DOZEN LION	7
249	DRACULA CRYSTAL	21
250	DRAGON SQUAD	11
251	DRAGONFLY STRANGERS	18
252	DREAM PICKUP	22
253	DRIFTER COMMANDMENTS	24
254	DRIVER ANNIE	18
255	DRIVING POLISH	21
256	DROP WATERFRONT	9
257	DRUMLINE CYCLONE	11
258	DRUMS DYNAMITE	13
259	DUCK RACER	6
260	DUDE BLINDNESS	16
261	DUFFEL APOCALYPSE	7
262	DUMBO LUST	6
263	DURHAM PANKY	26
264	DWARFS ALTER	9
265	DYING MAKER	17
266	DYNAMITE TARZAN	25
267	EAGLES PANKY	22
268	EARLY HOME	7
269	EARRING INSTINCT	19
270	EARTH VISION	23
271	EASY GLADIATOR	23
272	EDGE KISSING	15
273	EFFECT GLADIATOR	25
274	EGG IGBY	21
275	EGYPT TENENBAUMS	17
276	ELEMENT FREDDY	10
277	ELEPHANT TROJAN	14
278	ELF MURDER	7
279	ELIZABETH SHANE	10
280	EMPIRE MALKOVICH	21
281	ENCINO ELF	19
282	ENCOUNTERS CURTAIN	19
283	ENDING CROWDS	11
284	ENEMY ODDS	29
285	ENGLISH BULWORTH	30
286	ENOUGH RAGING	18
287	ENTRAPMENT SATISFACTION	15
288	ESCAPE METROPOLIS	25
289	EVE RESURRECTION	7
290	EVERYONE CRAFT	13
291	EVOLUTION ALTER	12
292	EXCITEMENT EVE	21
293	EXORCIST STING	13
294	EXPECATIONS NATURAL	18
295	EXPENDABLE STALLION	28
296	EXPRESS LONELY	13
297	EXTRAORDINARY CONQUERER	6
298	EYES DRIVING	19
299	FACTORY DRAGON	17
300	FALCON VOLUME	22
301	FAMILY SWEET	29
302	FANTASIA PARK	19
303	FANTASY TROOPERS	26
304	FARGO GANDHI	24
305	FATAL HAUNTED	28
306	FEATHERS METAL	11
307	FELLOWSHIP AUTUMN	26
308	FERRIS MOTHER	17
309	FEUD FROGMEN	25
310	FEVER EMPIRE	5
311	FICTION CHRISTMAS	19
312	FIDDLER LOST	10
313	FIDELITY DEVIL	21
314	FIGHT JAWBREAKER	22
315	FINDING ANACONDA	12
316	FIRE WOLVES	7
317	FIREBALL PHILADELPHIA	21
319	FISH OPUS	25
320	FLAMINGOS CONNECTICUT	23
321	FLASH WARS	13
