47:  Para cada película, cuenta cuántos actores tienen el apellido de longitud >= 5.
film_id	title	actors_lastname_len5plus
48	BACKLASH UNDEFEATED	5
68	BETRAYED REAR	4
119	CAPER MOTIONS	7
128	CATCH AMISTAD	4
135	CHANCE RESURRECTION	4
175	CONFUSED CANDLES	3
199	CUPBOARD SINNERS	7
235	DIVIDE MONSTER	6
242	DOOM DANCING	7
243	DOORS PRESIDENT	7
254	DRIVER ANNIE	7
306	FEATHERS METAL	8
316	FIRE WOLVES	4
417	HILLS NEIGHBORS	5
426	HOME PITY	6
460	INNOCENT USUAL	1
477	JAWBREAKER BROOKLYN	5
541	LUKE MUMMY	9
549	MAGNOLIA FORRESTER	7
551	MAIDEN HOME	7
553	MAKER GABLES	9
578	MILLION ACE	5
602	MOURNING PURPLE	7
632	NUTS TIES	2
635	OKLAHOMA JUMANJI	8
638	OPERATION OPERATION	3
698	PRINCESS GIANT	5
726	RESERVOIR ADAPTATION	8
755	SABRINA MIDNIGHT	3
800	SINNERS ATLANTIS	4
856	STREETCAR INTENTIONS	7
858	SUBMARINE BED	10
90	BOULEVARD MOB	7
94	BRAVEHEART HUMAN	4
103	BUCKET BROTHERHOOD	6
104	BUGSY SONG	2
123	CASABLANCA SUPER	2
137	CHARADE DUFFEL	3
207	DANGEROUS UPTOWN	6
229	DEVIL DESIRE	5
338	FRISCO FORREST	8
381	GRINCH MASSAGE	5
436	HOURS RAGE	5
443	HURRICANE AFFAIR	3
453	IMAGE PRINCESS	9
470	ISHTAR ROCKETEER	4
505	LABYRINTH LEAGUE	6
512	LEAGUE HELLFIGHTERS	5
543	MADIGAN DORADO	6
545	MADNESS ATTACKS	7
547	MAGIC MALLRATS	4
564	MASSAGE IMAGE	9
568	MEMENTO ZOOLANDER	6
618	NECKLACE OUTBREAK	7
662	PATHS CONTROL	5
686	PLUTO OLEANDER	6
699	PRIVATE DROP	5
712	RAIDERS ANTITRUST	3
728	REUNION WITCHES	6
802	SKY MIRACLE	10
825	SPEAKEASY DATE	2
838	STAGECOACH ARMAGEDDON	5
889	TIES HUNGER	6
929	USUAL UNTOUCHABLES	5
991	WORST BANGER	3
33	APOLLO TEEN	8
160	CLUB GRAFFITI	4
301	FAMILY SWEET	7
324	FLINTSTONES HAPPINESS	4
346	GALAXY SWEETHEARTS	2
362	GLORY TRACY	5
391	HALF OUTFIELD	5
413	HEDWIG ALTER	3
421	HOLIDAY GAMES	5
437	HOUSE DYNAMITE	9
590	MONEY HAROLD	7
639	OPPOSITE NECKLACE	5
668	PEAK FOREVER	5
677	PIANIST OUTFIELD	5
679	PILOT HOOSIERS	6
695	PRESIDENT BANG	4
714	RANDOM GO	9
720	REDEMPTION COMFORTS	5
819	SONG HEDWIG	5
828	SPIKING ELEMENT	5
845	STEPMOM DREAM	3
864	SUNDANCE INVASION	7
940	VICTORY ACADEMY	5
990	WORLD LEATHERNECKS	8
35	ARACHNOPHOBIA ROLLERCOASTER	7
39	ARMAGEDDON LOST	6
41	ARSENIC INDEPENDENCE	3
49	BADMAN DAWN	7
55	BARBARELLA STREETCAR	5
136	CHAPLIN LICENSE	6
141	CHICAGO NORTH	7
151	CINCINATTI WHISPERER	4
311	FICTION CHRISTMAS	8
384	GROSSE WONDERFUL	4
399	HAPPINESS UNITED	5
499	KING EVOLUTION	5
517	LESSON CLEOPATRA	8
558	MANNEQUIN WORST	5
572	METROPOLIS COMA	6
641	ORANGE GRAPES	5
656	PAPI NECKLACE	3
735	ROBBERS JOON	4
788	SHIP WONDERLAND	6
852	STRANGELOVE DESIRE	8
938	VELVET TERMINATOR	7
957	WAR NOTTING	9
969	WEST LION	8
109	BUTTERFLY CHOCOLAT	7
120	CARIBBEAN LIBERTY	7
154	CLASH FREDDY	5
155	CLEOPATRA DEVIL	6
293	EXORCIST STING	5
402	HARPER DYING	3
409	HEARTBREAKERS BRIGHT	4
457	INDEPENDENCE HOTEL	7
475	JAPANESE RUN	7
487	JINGLE SAGEBRUSH	2
494	KARATE MOON	7
527	LOLA AGENT	6
592	MONSTER SPARTACUS	7
625	NONE SPIKING	5
629	NOTORIOUS REUNION	2
661	PAST SUICIDES	5
664	PATRIOT ROMAN	2
692	POTLUCK MIXED	6
713	RAINBOW SHOCK	5
748	RUGRATS SHAKESPEARE	4
822	SOUP WISDOM	2
893	TITANS JERK	6
923	UNFAITHFUL KILL	5
953	WAIT CIDER	9
9	ALABAMA DEVIL	8
42	ARTIST COLDBLOODED	7
67	BERETS AGENT	10
86	BOOGIE AMELIE	6
88	BORN SPINAL	9
98	BRIGHT ENCOUNTERS	3
161	CLUE GRAIL	5
163	CLYDE THEORY	3
215	DAWN POND	6
232	DIRTY ACE	4
352	GATHERING CALENDAR	3
415	HIGH ENCINO	7
486	JET NEIGHBORS	6
498	KILLER INNOCENT	4
531	LOSE INCH	2
719	RECORDS ZORRO	7
738	ROCKETEER MOTHER	6
786	SHEPHERD MIDSUMMER	4
872	SWEET BROTHERHOOD	4
60	BEAST HUNCHBACK	4
66	BENEATH RUSH	7
95	BREAKFAST GOLDFINGER	5
122	CARRIE BUNCH	6
187	CRANES RESERVOIR	6
223	DESIRE ALIEN	6
234	DISTURBING SCARFACE	4
251	DRAGONFLY STRANGERS	3
348	GANDHI KWAI	7
444	HUSTLER PARTY	3
464	INTENTIONS EMPIRE	2
474	JADE BUNCH	6
604	MULAN MOON	5
606	MUMMY CREATURES	11
642	ORDER BETRAYED	6
648	OUTLAW HANKY	6
650	PACIFIC AMISTAD	8
709	RACER EGG	4
760	SAMURAI LION	2
765	SATURN NAME	2
781	SEVEN SWARM	6
850	STORY SIDE	2
862	SUMMER SCARFACE	8
866	SUNSET RACER	3
870	SWARM GOLD	5
912	TROJAN TOMORROW	7
935	VANISHED GARDEN	2
958	WARDROBE PHANTOM	6
34	ARABIA DOGMA	10
37	ARIZONA BANG	4
173	CONFESSIONS MAGUIRE	4
188	CRAZY HOME	12
231	DINOSAUR SECRETARY	6
312	FIDDLER LOST	9
322	FLATLINERS KILLER	7
450	IDOLS SNATCHERS	8
565	MATRIX SNOWMAN	1
603	MOVIE SHAKESPEARE	7
654	PANKY SUBMARINE	7
666	PAYCHECK WAIT	2
700	PRIX UNDEFEATED	6
772	SEA VIRGIN	6
796	SIERRA DIVIDE	4
817	SOLDIERS EVOLUTION	7
829	SPINAL ROCKY	8
865	SUNRISE LEAGUE	5
869	SUSPECTS QUILLS	7
988	WORKER TARZAN	8
24	ANALYZE HOOSIERS	5
57	BASIC EASY	5
144	CHINATOWN GLADIATOR	8
244	DORADO NOTTING	3
256	DROP WATERFRONT	7
408	HEAD STRANGER	2
496	KICK SAVANNAH	6
576	MIGHTY LUCK	6
601	MOULIN WAKE	3
725	REQUIEM TYCOON	8
731	RIGHT CRANES	5
766	SAVANNAH TOWN	6
861	SUIT WALLS	5
915	TRUMAN CRAZY	5
945	VIRGINIAN PLUTO	6
972	WHISPERER GIANT	2
981	WOLVES DESIRE	5
38	ARK RIDGEMONT	3
54	BANGER PINOCCHIO	6
62	BED HIGHBALL	5
87	BOONDOCK BALLROOM	11
253	DRIFTER COMMANDMENTS	6
278	ELF MURDER	4
310	FEVER EMPIRE	3
374	GRAFFITI LOVE	4
411	HEAVENLY GUN	5
472	ITALIAN AFRICAN	2
562	MASKED BUBBLE	2
623	NEWTON LABYRINTH	4
682	PITTSBURGH HUNCHBACK	5
693	POTTER CONNECTICUT	6
705	PURPLE MOVIE	7
708	QUILLS BULL	4
806	SLEEPY JAPANESE	5
874	TADPOLE PARK	8
959	WARLOCK WEREWOLF	6
25	ANGELS LIFE	8
36	ARGONAUTS TOWN	4
53	BANG KWAI	4
172	CONEHEADS SMOOCHY	7
233	DISCIPLE MOTHER	6
273	EFFECT GLADIATOR	7
351	GASLIGHT CRUSADE	3
385	GROUNDHOG UNCUT	5
484	JERK PAYCHECK	6
508	LAMBS CINCINATTI	13
670	PELICAN COMFORTS	4
734	ROAD ROXANNE	8
737	ROCK INSTINCT	6
770	SCISSORHANDS SLUMS	5
777	SECRETARY ROUGE	6
787	SHINING ROSES	5
790	SHOOTIST SUPERFLY	3
913	TROOPERS METAL	5
924	UNFORGIVEN ZOOLANDER	6
944	VIRGIN DAISY	5
973	WIFE TURN	6
32	APOCALYPSE FLAMINGOS	5
47	BABY HALL	7
64	BEETHOVEN EXORCIST	5
102	BUBBLE GROSSE	3
121	CAROL TEXAS	7
177	CONNECTICUT TRAMP	6
178	CONNECTION MICROCOSMOS	7
241	DONNIE ALLEY	7
473	JACKET FRISCO	8
483	JERICHO MULAN	3
532	LOSER HUSTLER	4
555	MALLRATS UNITED	5
581	MINORITY KISS	1
616	NATIONAL STORY	6
626	NOON PAPI	6
637	OPEN AFRICAN	9
799	SIMON NORTH	2
812	SMOKING BARBARELLA	5
824	SPARTACUS CHEAPER	3
830	SPIRIT FLINTSTONES	7
840	STAMPEDE DISTURBING	6
879	TELEGRAPH VOYAGE	5
880	TELEMARK HEARTBREAKERS	10
894	TOMATOES HELLFIGHTERS	8
896	TOOTSIE PILOT	4
967	WEEKEND PERSONAL	7
968	WEREWOLF LOLA	7
22	AMISTAD MIDSUMMER	4
106	BULWORTH COMMANDMENTS	4
113	CALIFORNIA BIRDS	2
190	CREEPERS KANE	5
246	DOUBTFIRE LABYRINTH	4
260	DUDE BLINDNESS	5
263	DURHAM PANKY	8
289	EVE RESURRECTION	6
343	FULL FLATLINERS	5
449	IDENTITY LOVER	4
468	INVASION CYCLONE	6
539	LUCK OPUS	6
742	ROOF CHAMPION	3
775	SEATTLE EXPECATIONS	2
785	SHAWSHANK BUBBLE	8
814	SNATCH SLIPPER	3
882	TENENBAUMS COMMAND	4
987	WORDS HUNTER	6
997	YOUTH KICK	5
11	ALAMO VIDEOTAPE	3
61	BEAUTY GREASE	4
168	COMANCHEROS ENEMY	4
298	EYES DRIVING	5
442	HUNTING MUSKETEERS	5
451	IGBY MAKER	5
610	MUSIC BOONDOCK	3
622	NEWSIES STORY	6
659	PARK CITIZEN	5
722	REEF SALUTE	4
780	SENSIBILITY REAR	6
797	SILENCE KANE	3
809	SLIPPER FIDELITY	5
827	SPICE SORORITY	11
853	STRANGER STRANGERS	9
982	WOMEN DORADO	5
255	DRIVING POLISH	7
258	DRUMS DYNAMITE	4
284	ENEMY ODDS	4
292	EXCITEMENT EVE	7
370	GORGEOUS BINGO	5
418	HOBBIT ALIEN	5
454	IMPACT ALADDIN	3
495	KENTUCKIAN GIANT	3
536	LOVELY JINGLE	4
537	LOVER TRUMAN	7
612	MUSSOLINI SPOILERS	5
688	POLISH BROOKLYN	8
759	SALUTE APOLLO	3
764	SATURDAY LAMBS	8
847	STOCK GLASS	7
890	TIGHTS DAWN	5
908	TRAP GUYS	7
919	TYCOON GATHERING	5
948	VOICE PEACH	3
970	WESTWARD SEABISCUIT	5
170	COMMAND DARLING	8
186	CRAFT OUTFIELD	6
198	CRYSTAL BREAKING	4
220	DEER VIRGINIAN	3
222	DESERT POSEIDON	4
297	EXTRAORDINARY CONQUERER	5
353	GENTLEMEN STAGE	7
479	JEDI BENEATH	3
633	OCTOBER SUBMARINE	3
658	PARIS WEEKEND	6
771	SCORPION APOLLO	8
884	TERMINATOR CLUB	2
885	TEXAS WATCH	4
966	WEDDING APOLLO	8
16	ALLEY EVOLUTION	5
17	ALONE TRIP	4
91	BOUND CHEAPER	2
92	BOWFINGER GABLES	4
107	BUNCH MINDS	7
208	DARES PLUTO	9
213	DATE SPEED	4
216	DAY UNFAITHFUL	5
344	FURY MURDER	4
400	HARDLY ROBBERS	3
416	HIGHBALL POTTER	5
420	HOLES BRANNIGAN	11
513	LEATHERNECKS DWARFS	5
540	LUCKY FLYING	8
593	MONTEREY LABYRINTH	5
631	NOVOCAINE FLIGHT	5
672	PERFECT GROOVE	6
716	REAP UNFAITHFUL	4
871	SWEDEN SHINING	5
31	APACHE DIVINE	4
85	BONNIE HOLOCAUST	9
133	CHAMBER ITALIAN	5
142	CHICKEN HELLFIGHTERS	2
179	CONQUERER NUTS	6
239	DOGMA FAMILY	5
262	DUMBO LUST	6
299	FACTORY DRAGON	6
334	FREDDY STORM	2
376	GRAPES FURY	3
423	HOLLYWOOD ANONYMOUS	6
493	KANE EXORCIST	5
534	LOUISIANA HARRY	3
665	PATTON INTERVIEW	8
754	RUSHMORE MERMAID	3
783	SHANE DARKNESS	3
784	SHANGHAI TYCOON	8
805	SLEEPLESS MONSOON	4
835	SPY MILE	6
928	UPTOWN YOUNG	6
952	WAGON JAWS	3
971	WHALE BIKINI	5
986	WONKA SEA	2
13	ALI FOREVER	4
176	CONGENIALITY QUEST	3
181	CONTACT ANONYMOUS	5
