49:  Para cada ciudad, suma los importes pagados por clientes que residen en esa ciudad.
city_id	city	total_paid
463	Sasebo	118.68
449	San Bernardino	128.73
38	Athenai	135.74
349	Myingyan	81.78
361	Nantou	144.62
295	Laredo	93.72
280	Kragujevac	151.67
200	Hamilton	92.76
329	Masqat	89.77
162	Esfahan	99.75
440	Sagamihara	106.76
582	Yamuna Nagar	103.72
384	Osmaniye	131.73
120	Citrus Heights	117.72
76	Bhopal	134.68
495	Southend-on-Sea	118.72
156	Elista	98.79
252	Kaduna	91.78
267	Kimberley	125.76
327	Mardan	115.70
525	Tangail	155.65
443	Salé	113.78
303	Liepaja	119.70
128	Córdoba	95.75
472	Shikarpur	115.71
121	Città del Vaticano	152.66
138	Davao	126.69
346	Munger (Monghyr)	111.68
474	Shimonoseki	140.64
316	Lungtan	123.66
257	Kamarhati	104.74
239	Jhansi	127.71
17	Alessandria	91.79
284	Kurashiki	89.76
544	Toulouse	129.68
31	Arak	92.73
362	Nanyang	95.77
115	Chisinau	127.66
569	Vila Velha	141.71
353	Nador	110.73
586	Yerevan	118.75
394	Pak Kret	117.70
167	Faaa	99.76
308	Lipetsk	114.74
27	Antofagasta	127.73
343	Moscow	142.66
247	Juazeiro do Norte	108.78
367	Niznekamsk	76.83
237	Jedda	130.72
379	Omdurman	169.65
171	Fontana	138.67
1	A Coruña (La Coruña)	107.71
355	Nagareyama	115.70
227	Iwakuni	128.71
49	Balašiha	100.78
397	Papeete	135.70
560	Vaduz	114.72
282	Kuching	115.73
350	Mysore	133.73
231	Jaipur	98.75
56	Basel	58.86
441	Saint Louis	84.77
306	Lincoln	112.75
139	Daxian	100.67
105	Cayenne	103.78
321	Malmö	144.66
579	Xi´angtan	99.78
475	Shivapuri	94.78
63	Béchar	96.75
13	al-Hawiya	80.82
61	Baybay	129.70
517	Taguig	99.70
114	Chiayi	97.76
431	Rio Claro	103.73
108	Changhwa	155.59
402	Pavlodar	77.77
30	Araçatuba	100.72
425	Rae Bareli	141.69
256	Kamakura	84.78
217	Ife	137.70
319	Mahajanga	93.78
479	Simferopol	130.74
497	Springs	101.75
40	Atlixco	141.67
88	Bradford	87.77
489	Songkhla	148.67
480	Sincelejo	145.70
113	Cheju	87.79
289	La Plata	134.68
332	Meixian	110.72
53	Bandar Seri Begawan	113.65
183	Goiânia	133.72
592	Zalantun	91.77
82	Bislig	79.79
399	Pathankot	77.82
41	Augusta-Richmond County	105.73
534	Tete	58.82
12	al-Ayn	106.75
268	Kimchon	91.76
238	Jelets	102.76
2	Abha	96.76
34	Ashdod	137.67
220	Ilorin	146.69
543	Toulon	92.76
173	Funafuti	120.74
225	Ivanovo	100.77
334	Merlo	126.70
213	Huixquilucan	132.70
273	Klerksdorp	107.74
159	Enshi	59.86
102	Caracas	97.74
292	Lancaster	133.70
132	Cumaná	113.71
148	Duisburg	139.67
365	Nezahualcóyotl	91.70
403	Pemalang	111.73
176	Gandhinagar	71.81
185	Grand Prairie	82.79
476	Shubra al-Khayma	153.66
147	Dos Quebradas	143.68
164	Etawah	109.74
305	Lima	126.68
566	Varanasi (Benares)	100.76
281	Kütahya	73.82
85	Boksburg	135.68
410	Poá	117.72
484	Smolensk	107.76
236	Jastrzebie-Zdrój	127.68
302	Liaocheng	124.66
190	Águas Lindas de Goiás	93.76
345	Mukatševe	128.70
87	Botshabelo	95.72
541	Torreón	98.73
421	Qalyub	94.77
417	Pune	110.70
211	Hubli-Dharwad	62.85
29	Apeldoorn	194.61
207	Hohhot	110.66
542	Touliu	113.73
123	Clarksville	83.82
172	Fukuyama	130.68
149	Dundee	94.74
266	Kilis	89.78
340	Molodetšno	195.58
491	Soshanguve	108.72
499	Sterling Heights	139.71
555	Urawa	127.66
442	Saint-Denis	216.54
94	Brockton	121.74
202	Hidalgo	105.75
291	Laiwu	92.73
354	Nagaon	83.79
232	Jakarta	94.76
590	Yuncheng	130.70
72	Bern	109.75
381	Ondo	101.75
420	Pyongyang	113.69
187	Greensboro	126.68
307	Linz	68.79
310	Ljubertsy	106.73
533	Tel Aviv-Jaffa	112.70
297	Le Mans	71.80
253	Kakamigahara	122.71
529	Tarsus	66.84
199	Hami	86.79
304	Lilongwe	123.72
107	Chandrapur	119.68
240	Jinchang	135.66
407	Pingxiang	95.78
550	Udaipur	119.74
223	Ipoh	114.74
58	Batman	145.67
186	Graz	119.71
373	Ocumare del Tuy	92.79
18	Allappuzha (Alleppey)	98.76
483	Skikda	173.63
330	Matamoros	71.77
456	Santa Bárbara d´Oeste	194.61
270	Kirovo-Tšepetsk	133.71
405	Pereira	98.77
333	Memphis	174.66
126	Compton	97.74
317	Luziânia	76.77
438	´s-Hertogenbosch	90.77
467	Shahr-e Kord	84.77
195	Haldia	114.69
506	Sumy	159.72
62	Bayugan	92.75
383	Oshawa	93.78
513	Tabora	110.73
369	Novotšerkassk	74.80
169	Firozabad	99.77
271	Kisumu	109.75
204	Hino	87.82
477	Siegen	86.81
325	Mannheim	151.65
109	Changzhou	154.60
218	Ikerre	141.63
194	Haiphong	103.75
35	Ashgabat	136.73
575	Witten	108.75
77	Bhusawal	103.74
184	Gorontalo	88.80
557	Usak	147.65
122	Ciudad del Este	80.82
83	Blumenau	126.73
371	Nuuk	137.66
51	Balurghat	91.74
74	Bhilwara	161.68
7	Aden	137.69
174	Fuyu	151.66
65	Bellevue	91.80
518	Taizz	111.72
508	Sunnyvale	116.69
498	Stara Zagora	91.74
28	Aparecida de Goiânia	95.77
448	Sambhal	98.77
251	Kabul	67.82
567	Vicente López	101.74
593	Zanzibar	114.73
511	Syrakusa	132.72
235	Jaroslavl	91.79
324	Mandi Bahauddin	80.83
243	Jodhpur	76.78
22	Ambattur	120.74
37	Asunción	87.79
439	Saarbrücken	87.76
406	Phnom Penh	92.73
26	Anápolis	93.75
86	Botosani	124.67
559	Uttarpara-Kotrung	110.74
596	Zaria	95.75
216	Idfu	89.77
233	Jalib al-Shuyukh	111.74
96	Buenaventura	93.75
527	Tanza	175.58
357	Naju	144.67
473	Shimoga	94.79
118	Ciomas	142.66
226	Iwaki	117.74
578	Xi´angfan	122.66
422	Qinhuangdao	140.68
454	San Miguel de Tucumán	82.76
294	Lapu-Lapu	129.68
553	Uijongbu	132.68
328	Maringá	107.77
124	Coacalco de Berriozábal	104.78
520	Tallahassee	50.85
535	Tianjin	107.77
390	Oyo	73.80
