73:  Para cada actor, cuenta en cuántas tiendas distintas se han alquilado sus películas.
actor_id	first_name	last_name	stores_with_actor_films_rented
1	PENELOPE	GUINESS	2
2	NICK	WAHLBERG	2
3	ED	CHASE	2
4	JENNIFER	DAVIS	2
5	JOHNNY	LOLLOBRIGIDA	2
6	BETTE	NICHOLSON	2
7	GRACE	MOSTEL	2
8	MATTHEW	JOHANSSON	2
9	JOE	SWANK	2
10	CHRISTIAN	GABLE	2
11	ZERO	CAGE	2
12	KARL	BERRY	2
13	UMA	WOOD	2
14	VIVIEN	BERGEN	2
15	CUBA	OLIVIER	2
16	FRED	COSTNER	2
17	HELEN	VOIGHT	2
18	DAN	TORN	2
19	BOB	FAWCETT	2
20	LUCILLE	TRACY	2
21	KIRSTEN	PALTROW	2
22	ELVIS	MARX	2
23	SANDRA	KILMER	2
24	CAMERON	STREEP	2
25	KEVIN	BLOOM	2
26	RIP	CRAWFORD	2
27	JULIA	MCQUEEN	2
28	WOODY	HOFFMAN	2
29	ALEC	WAYNE	2
30	SANDRA	PECK	2
31	SISSY	SOBIESKI	2
32	TIM	HACKMAN	2
33	MILLA	PECK	2
34	AUDREY	OLIVIER	2
35	JUDY	DEAN	2
36	BURT	DUKAKIS	2
37	VAL	BOLGER	2
38	TOM	MCKELLEN	2
39	GOLDIE	BRODY	2
40	JOHNNY	CAGE	2
41	JODIE	DEGENERES	2
42	TOM	MIRANDA	2
43	KIRK	JOVOVICH	2
44	NICK	STALLONE	2
45	REESE	KILMER	2
46	PARKER	GOLDBERG	2
47	JULIA	BARRYMORE	2
48	FRANCES	DAY-LEWIS	2
49	ANNE	CRONYN	2
50	NATALIE	HOPKINS	2
51	GARY	PHOENIX	2
52	CARMEN	HUNT	2
53	MENA	TEMPLE	2
54	PENELOPE	PINKETT	2
55	FAY	KILMER	2
56	DAN	HARRIS	2
57	JUDE	CRUISE	2
58	CHRISTIAN	AKROYD	2
59	DUSTIN	TAUTOU	2
60	HENRY	BERRY	2
61	CHRISTIAN	NEESON	2
62	JAYNE	NEESON	2
63	CAMERON	WRAY	2
64	RAY	JOHANSSON	2
65	ANGELA	HUDSON	2
66	MARY	TANDY	2
67	JESSICA	BAILEY	2
68	RIP	WINSLET	2
69	KENNETH	PALTROW	2
70	MICHELLE	MCCONAUGHEY	2
71	ADAM	GRANT	2
72	SEAN	WILLIAMS	2
73	GARY	PENN	2
74	MILLA	KEITEL	2
75	BURT	POSEY	2
76	ANGELINA	ASTAIRE	2
77	CARY	MCCONAUGHEY	2
78	GROUCHO	SINATRA	2
79	MAE	HOFFMAN	2
80	RALPH	CRUZ	2
81	SCARLETT	DAMON	2
82	WOODY	JOLIE	2
83	BEN	WILLIS	2
84	JAMES	PITT	2
85	MINNIE	ZELLWEGER	2
86	GREG	CHAPLIN	2
87	SPENCER	PECK	2
88	KENNETH	PESCI	2
