86:  Para cada actor, cuenta cuántas de sus películas tienen un título que contiene la palabra 'LOVE' (mayúsculas).
actor_id	first_name	last_name	films_with_love
2	NICK	WAHLBERG	1
5	JOHNNY	LOLLOBRIGIDA	1
8	MATTHEW	JOHANSSON	1
14	VIVIEN	BERGEN	2
18	DAN	TORN	1
20	LUCILLE	TRACY	1
22	ELVIS	MARX	1
23	SANDRA	KILMER	2
25	KEVIN	BLOOM	1
29	ALEC	WAYNE	1
38	TOM	MCKELLEN	2
40	JOHNNY	CAGE	1
42	TOM	MIRANDA	1
45	REESE	KILMER	1
46	PARKER	GOLDBERG	2
57	JUDE	CRUISE	1
61	CHRISTIAN	NEESON	3
64	RAY	JOHANSSON	2
65	ANGELA	HUDSON	1
69	KENNETH	PALTROW	1
73	GARY	PENN	1
74	MILLA	KEITEL	1
77	CARY	MCCONAUGHEY	2
78	GROUCHO	SINATRA	1
81	SCARLETT	DAMON	1
90	SEAN	GUINESS	1
91	CHRISTOPHER	BERRY	1
101	SUSAN	DAVIS	1
102	WALTER	TORN	1
107	GINA	DEGENERES	1
114	MORGAN	MCDORMAND	1
118	CUBA	ALLEN	1
121	LIZA	BERGMAN	1
124	SCARLETT	BENING	1
132	ADAM	HOPPER	1
135	RITA	REYNOLDS	1
149	RUSSELL	TEMPLE	1
153	MINNIE	KILMER	1
156	FAY	WOOD	1
157	GRETA	MALDEN	1
164	HUMPHREY	WILLIS	1
170	MENA	HOPPER	1
172	GROUCHO	WILLIAMS	1
173	ALAN	DREYFUSS	1
174	MICHAEL	BENING	1
176	JON	CHASE	1
177	GENE	MCKELLEN	1
178	LISA	MONROE	1
179	ED	GUINESS	1
185	MICHAEL	BOLGER	1
187	RENEE	BALL	1
190	AUDREY	BAILEY	1
198	MARY	KEITEL	1
200	THORA	TEMPLE	2

